step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65
52000	-297.389325823585068	-304.244813774544468	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736533383961718	0	2	2	4	4	3	4	3	3	7	6	5	5	6	5	6	6	5	6	6	6	6	7	8	9	10	9	9	10	11	9	11	10	9	11	10	11	10	13	10	11	10	10	12	11	12	11	12	13	13	13	14	13	13	14	13	12	15	16	18	17	15	17	18	19	0	1	1	8	8	2	8	1	3	5	6	7	8	13	4	3	9	6	18	13	13	8	19	16	22	25	19	24	24	38	21	43	31	23	29	14	25	13	30	31	26	31	31	32	28	29	29	41	32	57	42	54	48	46	53	47	35	55	62	50	58	56	62	62	63	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	3	1	2	2	1	2	1	1	1	2	1	1	1	1	4	2	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	2	1
52500	-262.268620886742838	-269.124108837702238	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.845006180449017	0	2	3	4	4	4	4	3	5	6	5	5	5	5	4	6	7	6	6	6	6	6	7	8	9	10	9	9	10	10	9	11	10	10	11	11	11	10	13	11	11	10	10	12	12	12	12	10	13	13	12	13	13	14	14	15	12	15	16	16	17	17	17	18	19	0	1	2	8	8	8	8	2	3	7	6	7	4	8	8	9	9	11	11	13	13	14	19	16	13	31	23	16	28	25	13	43	31	27	29	30	30	25	30	42	33	31	31	32	28	29	35	31	51	57	31	46	41	52	53	47	35	55	56	35	58	59	59	62	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	2	1	1	2	1	1	1	2	2	1	1	1	2
53000	-276.368176282763784	-283.223664233723184	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748200675537046	0	1	3	2	4	4	4	4	4	6	5	5	4	3	4	6	7	6	6	6	6	3	7	8	8	10	9	9	10	11	9	11	10	10	11	11	9	10	13	11	11	10	11	12	12	12	12	13	13	13	13	13	13	14	14	15	15	15	16	17	17	16	16	17	19	0	1	2	2	14	22	14	4	3	5	6	7	14	4	14	3	16	11	11	13	13	4	19	3	21	31	23	24	28	38	21	26	31	27	24	24	25	25	30	31	31	31	26	43	28	35	35	41	43	46	42	35	31	52	53	35	50	55	56	57	58	56	56	62	62	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	4	2	1	1	1	1	1	2	1	1	1	2	3	1	2	2	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	2
53500	-276.928836191712946	-283.784324142672347	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752284132894525	0	2	3	3	4	4	4	4	5	6	5	5	5	6	5	6	7	6	6	6	6	5	7	8	9	10	7	9	10	11	9	11	10	10	11	11	10	12	13	11	11	10	10	12	11	12	12	12	13	12	13	12	13	14	14	14	15	15	16	18	17	17	16	18	19	0	1	2	2	4	2	4	4	3	5	6	7	8	15	4	3	9	11	11	13	13	4	19	9	14	31	18	24	24	25	15	43	31	23	29	25	25	30	25	26	26	31	31	32	28	35	24	41	40	35	41	35	48	52	53	47	35	55	56	57	58	56	56	63	63	1	2	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	3	1	1	1	2	1	2	1	1	2	1	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	3	1	1	2	2	1	2	2	3
54000	-270.096858759221618	-276.952346710181018	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736305203274872	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	7	6	5	6	6	5	7	8	9	10	8	9	10	10	9	11	10	9	11	8	11	12	11	10	11	11	10	12	12	12	12	13	13	13	13	13	13	14	14	15	15	15	16	17	17	16	17	18	18	0	1	2	2	4	4	4	4	3	5	6	7	8	8	7	9	9	19	6	13	13	8	11	9	14	25	23	24	28	21	21	43	31	27	29	13	30	39	31	31	31	26	31	31	28	35	24	41	32	35	42	46	31	52	53	47	50	55	56	57	58	56	59	62	63	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	3	2	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	2	1	2	1	2	1	1	3	2	1	1	2	2	1	1	2	1
54500	-297.472719123651700	-304.328207074611100	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.737196967128468	0	2	3	3	4	4	4	4	5	7	6	5	5	6	5	6	6	5	6	6	6	6	7	8	7	10	9	8	10	11	9	11	10	10	11	11	9	12	13	11	11	11	10	11	12	11	12	13	13	10	13	14	13	14	14	15	15	15	16	18	17	16	17	16	19	0	1	2	2	4	2	4	4	3	22	18	7	4	8	8	9	3	6	18	13	13	8	19	3	13	31	23	16	24	37	25	43	31	27	16	25	25	30	30	31	31	26	31	43	29	29	29	26	32	24	42	24	26	35	53	35	50	53	56	57	58	56	62	56	56	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	5	2	1	1	2	2	2	1	1	1	1	3	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	3	1	1	2	2	1	1	1	4
55000	-318.486826079516391	-325.342314030475791	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608447179498931	0	2	3	3	4	4	4	4	5	5	6	5	5	6	5	6	7	5	6	6	6	5	6	8	9	10	9	8	10	9	9	11	10	9	11	11	11	12	13	11	11	11	10	11	12	12	12	12	13	13	13	11	12	14	13	15	15	14	16	18	17	17	17	18	19	0	1	2	1	4	2	2	4	3	5	18	7	4	8	4	3	22	6	18	4	22	4	18	16	13	31	23	16	9	20	14	43	25	23	29	25	25	25	25	26	31	31	31	43	28	35	35	31	32	35	33	29	40	52	53	47	50	53	56	57	58	56	56	56	62	1	2	1	3	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	4	1	3	1	3	3	2	1	1	2	1	2	2	2	2	1	1	2	1	1	2	1	1	1	2	2	3	1	1	2	1	2	2	1	1	1	2	2	2	1	1
55500	-294.749497877847205	-301.604985828806605	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685522388442775	0	2	3	2	4	3	4	4	5	7	5	5	5	6	5	6	7	4	6	3	6	3	5	7	8	10	9	9	9	11	9	11	10	10	11	9	10	12	12	10	11	11	10	12	12	12	12	12	13	13	13	13	12	14	14	15	15	15	16	18	17	17	17	18	19	0	1	2	1	4	4	4	22	3	5	18	4	8	15	22	3	9	6	18	4	13	2	18	9	13	31	19	24	24	10	21	43	31	27	29	25	25	30	37	31	26	26	31	32	28	35	35	41	32	35	42	35	31	52	53	47	46	55	56	50	58	56	56	56	63	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	2	1	3	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	3	1	1	2	2	1	1	3	2	2	1	2	1
56000	-281.930013741470418	-288.785501692429818	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643662656858090	0	1	2	2	4	3	4	3	5	7	6	5	5	5	5	6	7	4	6	6	6	6	7	7	7	10	9	8	10	9	9	11	10	10	11	11	11	12	13	11	11	11	10	11	11	12	12	12	12	13	13	12	13	14	14	15	15	15	16	18	17	17	17	16	18	0	1	2	2	8	4	8	4	2	5	18	7	8	8	8	14	9	6	18	14	13	15	19	9	13	31	23	16	24	15	25	43	31	27	29	30	30	30	37	26	26	26	31	43	28	29	29	41	32	35	31	35	48	52	53	47	50	55	56	57	58	59	59	56	63	1	1	1	1	1	1	1	1	3	2	2	1	2	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	3	1	1	2	1	3	2	1	1	3	2	1	1	1	1
56500	-291.643549849976523	-298.499037800935923	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.795676447186109	0	1	3	2	4	3	4	4	4	7	6	5	4	3	5	6	7	4	6	6	6	5	7	8	9	10	9	9	10	8	9	11	10	8	11	11	10	12	13	11	11	11	10	11	12	12	12	12	12	12	13	13	13	14	14	15	15	15	16	18	17	17	16	18	19	0	1	2	2	14	4	4	14	3	5	18	7	4	4	14	3	3	6	18	15	13	8	19	16	30	21	34	17	16	22	30	43	31	23	29	30	25	36	25	26	31	26	31	26	28	29	35	31	41	35	42	46	26	52	53	47	35	55	56	57	58	63	56	62	56	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	3	4	1	2	1	2	1	1	1	1	2	1	2	3	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	2
57000	-319.265621700231122	-326.121109651190523	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629609074267356	0	1	2	4	4	4	4	3	4	6	6	5	4	6	5	6	7	5	6	5	6	6	7	8	7	10	9	9	10	9	9	10	9	10	11	11	11	11	12	11	11	11	11	12	10	12	12	11	11	13	13	12	11	14	14	14	14	15	16	17	17	17	16	18	19	0	1	1	3	8	8	8	1	3	5	18	7	8	4	4	8	9	6	18	13	13	4	19	16	4	31	23	24	24	25	25	31	25	27	28	30	30	25	25	31	30	26	32	49	28	35	35	26	31	46	42	24	31	52	53	47	46	55	47	57	55	63	56	62	59	1	1	2	2	1	1	1	3	2	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	3	1	1	1	2	2	2	1	1	1	2	1	2	3	5	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	1	2	2	3	1	2	1	1
57500	-309.873236204673788	-316.728724155633188	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718863591177166	0	2	2	2	4	4	4	3	5	7	6	5	5	6	5	6	6	5	6	6	6	5	7	8	9	10	9	9	10	10	9	10	10	10	11	11	11	12	13	8	11	11	11	12	11	12	12	13	12	13	13	13	13	14	14	14	15	15	16	18	17	17	16	18	19	0	1	1	1	4	8	4	4	3	15	18	5	8	8	8	2	7	6	18	7	13	8	19	9	21	31	23	24	16	14	40	40	31	27	16	30	30	25	37	15	32	26	32	43	28	29	35	33	43	29	42	35	41	52	53	47	50	55	35	57	58	63	56	62	63	1	1	1	2	2	1	2	1	2	1	1	1	2	2	2	3	1	1	1	1	1	2	1	2	3	1	2	1	2	3	1	2	1	1	3	1	1	3	1	2	1	1	1	1	2	1	1	2	1	2	2	2	1	1	1	2	2	1	3	1	2	1	2	1	1
58000	-311.618358659607225	-318.473846610566625	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590682801683809	0	2	3	2	4	4	4	3	5	7	6	5	5	6	5	4	7	5	6	6	6	5	7	7	9	10	9	9	9	11	9	10	10	10	11	11	11	12	13	11	11	11	11	12	12	12	12	13	13	13	13	12	12	14	14	15	15	15	16	17	17	17	17	17	18	0	1	2	1	4	4	8	4	3	22	18	7	8	8	7	1	3	6	18	4	22	8	19	16	13	21	23	9	24	25	21	31	31	23	29	25	25	30	30	26	31	31	32	32	29	35	35	41	43	35	42	29	31	52	53	47	50	55	56	57	55	56	56	56	56	1	1	1	2	2	1	1	1	2	2	1	1	2	3	1	3	4	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	3	3	2	2	3	2	1	1	2	3	2	2	1	2
58500	-294.698130361847291	-301.553618312806691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702462614253575	0	2	3	3	4	4	4	2	5	7	6	5	5	6	5	6	6	5	6	6	6	3	7	8	8	10	9	9	9	9	9	10	10	10	11	11	11	10	13	11	11	11	11	12	12	12	12	13	12	13	13	13	13	13	14	15	15	15	16	18	17	17	17	18	19	0	1	2	8	8	4	8	1	8	5	18	7	7	4	22	3	3	6	18	7	13	8	19	9	13	31	23	24	16	13	21	31	31	23	29	38	30	25	38	26	31	26	32	43	28	35	24	26	32	29	42	35	41	35	53	47	50	55	56	57	58	56	56	62	63	1	2	1	1	2	1	2	1	3	1	1	1	1	2	2	3	2	1	1	2	1	1	1	2	2	1	2	1	3	2	2	1	1	2	2	1	2	2	1	1	2	1	1	1	2	1	3	2	2	2	2	2	1	1	1	1	2	1	1	2	2	2	2	1	2
59000	-295.192363040799933	-302.047850991759333	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.803317456164394	0	1	3	3	4	4	3	2	4	7	6	5	5	3	4	6	6	5	6	6	5	6	6	8	7	10	9	6	10	9	9	11	10	10	11	11	11	12	13	11	11	11	10	12	11	12	12	12	11	12	13	13	13	14	14	16	15	15	15	17	17	17	17	16	19	0	1	1	8	14	4	2	2	3	5	18	7	8	8	14	9	9	6	18	13	7	13	18	16	13	31	23	3	16	13	13	43	31	27	29	30	30	30	38	26	31	26	31	32	29	35	35	41	26	35	42	46	48	52	53	47	50	55	47	50	58	56	64	59	62	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	3	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	3	2	2	1	1	1	2
59500	-298.305667982276191	-305.161155933235591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.754482889725340	0	2	3	4	4	4	4	3	5	6	6	5	5	5	5	4	7	5	6	6	6	6	7	5	9	9	8	9	9	9	8	10	10	10	11	11	11	12	13	11	10	11	9	12	12	12	12	12	12	13	13	11	13	14	14	14	15	15	16	18	17	17	16	18	17	0	1	2	8	8	8	8	2	3	5	18	7	7	4	4	3	9	6	18	13	13	4	19	3	13	31	23	24	24	10	21	26	26	27	29	25	25	36	37	33	26	26	31	32	28	35	35	42	31	35	49	29	42	52	53	47	50	55	56	57	58	63	56	63	56	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	3	3	1	2	1	1	2	2	2	1	1	2	1	1	2	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	2	3	2	1	2	2	2
60000	-301.445459093204533	-308.300947044163934	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748548385065818	0	1	2	4	4	4	4	3	4	6	6	5	5	5	5	6	7	5	6	6	6	6	7	8	7	9	9	9	10	11	10	11	10	10	11	11	11	12	10	11	11	11	9	12	11	12	12	12	12	13	13	14	13	12	14	15	15	15	16	17	17	17	17	18	19	0	1	2	8	8	8	8	2	3	5	18	7	4	8	4	3	16	6	18	13	13	4	19	9	13	13	23	24	28	26	43	43	43	23	29	26	39	30	14	43	43	31	21	32	28	35	24	26	43	47	42	54	48	35	53	47	50	55	56	57	58	46	47	62	63	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	2	1	3	1	4	1	1	1	1	1	2	1	3	1	1	1	1	3	2	1	1	2	1	1	1	3	2	3	1	2	2	1	1	1	3	2	1	1	2	2	4	3	1	2
60500	-295.387677179746674	-302.243165130706075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685901409239729	0	2	3	4	4	4	4	3	5	6	6	5	5	4	5	6	7	5	6	6	6	6	7	8	9	10	9	9	10	10	10	11	9	10	11	11	11	12	13	11	11	11	8	12	12	12	11	11	12	13	13	14	12	13	13	15	12	15	16	17	17	17	16	18	19	0	1	2	8	8	8	8	2	3	5	18	8	2	8	8	13	9	6	18	13	4	14	19	16	15	43	23	16	28	4	25	43	43	27	29	25	25	37	25	26	31	31	21	32	16	35	29	26	32	57	42	54	48	57	53	47	47	55	56	50	58	63	56	56	63	1	1	1	1	1	1	1	1	2	2	1	2	3	1	1	1	2	1	1	1	2	1	1	1	3	2	1	2	1	3	1	3	1	1	1	2	2	1	2	1	1	1	2	1	4	1	1	1	1	1	2	1	1	1	1	3	1	2	1	2	2	1	1	2	2
61000	-294.484116092114675	-301.339604043074075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649801248515745	0	2	3	4	4	4	4	3	4	6	6	5	5	4	5	5	5	5	6	6	6	6	7	8	9	10	9	7	10	11	10	11	10	10	10	11	11	12	13	10	9	11	8	12	12	11	12	12	13	13	13	14	13	13	14	15	15	15	16	17	17	17	16	18	19	0	1	2	8	8	2	8	2	3	5	18	7	14	8	8	3	3	6	18	13	15	14	19	16	13	41	23	16	28	25	41	31	41	27	24	25	25	30	30	43	43	31	21	32	24	35	35	41	32	35	42	46	48	35	53	50	35	55	56	50	58	63	47	62	63	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	3	2	1	2	2	2	2	1	1	1	1	2	2	2	1	2	2	1	1	2	1	3	1	2	1	1	3	1	3	1	3	1	2	2	1	1	3	2	1	2	1	2
61500	-286.533449967301294	-293.388937918260694	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689162955889310	0	2	3	4	4	4	4	3	5	6	6	5	5	5	4	6	7	5	6	6	6	6	7	7	8	10	8	9	9	9	9	11	10	10	11	11	10	12	13	11	11	11	8	12	12	11	12	13	12	12	13	13	12	14	14	15	14	15	16	17	17	16	17	17	18	0	1	2	8	8	8	8	2	3	5	18	7	4	4	8	9	3	6	18	13	13	14	19	9	21	31	23	24	24	25	43	26	31	27	28	30	30	21	30	31	26	26	21	41	16	29	35	53	32	46	42	45	43	52	53	57	45	55	56	45	55	56	56	56	62	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	3	2	2	1	1	2	1	5	2	1	1	1	1	2	1	3	1	1	1	2	1	1	3	2	1	2	1	2
62000	-288.940774561770013	-295.796262512729413	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.761950094016757	-1	2	3	4	4	3	4	3	5	7	5	5	5	4	5	6	7	6	6	6	6	5	7	8	9	10	9	9	9	11	9	11	10	10	11	11	11	12	13	10	11	11	8	12	12	12	9	13	13	13	13	13	14	14	14	14	15	15	16	16	17	16	17	18	19	0	1	2	8	8	2	8	2	3	5	6	7	2	8	14	9	9	11	11	13	13	4	19	9	21	31	18	24	24	25	43	43	31	27	29	25	25	37	38	25	26	31	21	43	28	35	24	41	33	35	42	45	41	52	48	35	50	55	56	57	58	56	62	62	56	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	2	2	1	2	1	2	1	1	3	2	1	1	1	2	1	1	2	3
62500	-301.678355181145434	-308.533843132104835	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.754548607908861	0	2	3	4	4	4	4	3	5	7	5	5	5	6	5	6	7	6	6	6	6	5	7	8	8	10	9	7	10	9	9	10	10	9	11	10	10	12	13	11	11	11	11	9	12	11	12	12	13	13	13	12	14	14	13	15	15	15	16	17	17	17	17	17	19	0	1	2	8	8	8	8	2	3	5	6	8	4	22	7	3	16	11	11	13	13	8	19	9	13	31	23	9	28	13	25	31	31	23	29	25	25	25	37	33	26	26	32	25	28	24	29	41	32	46	26	35	55	52	48	47	50	55	56	57	55	59	56	56	63	1	2	1	1	1	1	1	1	1	3	1	2	1	1	1	3	1	1	1	1	1	2	1	2	2	1	2	2	3	4	1	1	1	2	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	3	1	2	1	1	1	1	2	2	2
63000	-290.655620060393630	-297.511108011353031	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656974534558430	0	2	3	4	4	4	4	3	5	7	5	5	5	6	5	6	7	6	6	6	6	6	7	8	9	10	9	7	10	10	9	11	10	10	11	11	11	12	13	11	11	11	11	12	12	12	12	11	13	11	13	12	14	14	13	15	15	15	16	15	17	16	17	17	19	0	1	1	8	8	8	8	2	3	22	6	7	4	4	8	3	15	11	11	13	13	8	19	28	21	25	19	3	24	25	21	31	31	23	29	30	25	30	30	26	26	26	31	32	29	50	35	31	32	16	42	50	55	52	41	47	35	55	56	50	58	56	62	62	63	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	3	2	2	1	2	2	1	3	1	1	2	2	2	1	1	1	2	1	2	1	1	2	1	4	2	1	1	2	2	3	2	1	1	3	2	1	1	1	2
63500	-293.399286058365249	-300.254774009324649	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645723418287296	0	1	3	3	4	4	4	4	5	6	5	5	5	5	5	6	7	6	6	6	6	6	7	8	9	10	8	9	9	11	9	10	10	10	11	10	11	12	13	11	11	11	11	12	11	12	12	13	11	10	13	12	14	14	12	15	15	14	16	18	17	16	17	17	19	0	1	2	2	4	4	4	4	3	5	6	7	4	4	4	3	16	11	11	14	13	14	19	16	20	25	23	24	16	36	13	31	31	27	29	13	25	30	30	26	26	26	32	43	28	24	50	41	25	16	42	50	55	52	31	47	47	55	56	57	58	56	62	62	62	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1	2	3	1	1	1	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	1	2	2	2	2	2	4	2	2	2	2	1	2	3	2	1	2	2	1	1	1	2
64000	-286.718922517558099	-293.574410468517499	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675699604405880	0	2	2	3	4	4	4	4	5	6	5	5	5	5	5	6	7	6	6	6	6	6	7	7	9	10	9	8	9	11	9	10	10	10	11	11	11	12	13	11	11	10	11	12	12	12	12	13	13	13	13	12	14	14	14	15	15	15	16	18	17	16	17	18	19	0	1	1	2	4	4	4	4	3	5	6	7	8	4	1	9	9	11	11	13	13	8	19	22	13	31	23	24	24	25	15	31	31	27	29	25	22	25	37	26	31	31	32	43	28	35	35	41	44	35	40	35	48	52	41	47	35	48	56	57	58	56	56	62	63	1	2	1	1	1	1	1	1	2	2	1	1	1	1	3	1	2	1	1	1	1	2	1	1	2	1	1	1	2	2	3	1	1	1	1	2	2	2	2	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	3	2	3	1	1	3	2	1	2	1	2
64500	-293.397227933888018	-300.252715884847419	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659320259741908	0	2	3	3	4	4	4	4	4	7	5	5	5	6	5	6	7	6	6	6	6	4	7	8	9	10	8	9	10	11	9	10	10	9	11	11	10	12	13	11	11	11	11	12	12	12	12	13	12	11	13	12	14	14	12	15	13	15	16	15	17	17	17	18	19	0	1	2	2	4	4	4	4	1	5	6	9	4	8	8	9	3	11	11	13	13	4	19	17	13	25	23	24	24	25	21	31	31	27	29	25	13	30	30	26	31	26	32	32	28	35	35	41	43	28	42	50	55	52	37	47	50	53	56	57	58	56	47	63	63	1	2	1	1	1	1	1	1	3	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	4	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	2	2	2	2	1	1	1	1	2	1	3	1	2
65000	-330.321323876569522	-337.176811827528923	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551259487345178	0	2	3	4	4	3	4	3	5	7	5	5	5	6	5	5	6	6	6	6	6	6	7	8	9	10	8	9	10	10	8	11	9	9	11	11	11	10	12	11	11	11	11	12	12	12	12	13	13	13	13	13	14	14	11	15	15	15	16	17	17	16	15	17	18	0	1	2	8	8	2	8	2	3	5	6	7	8	4	4	3	9	11	6	13	13	4	11	16	4	31	19	24	24	21	14	31	31	27	29	38	30	24	38	31	26	25	26	40	28	35	35	40	21	35	42	35	48	52	25	47	35	55	56	50	58	56	46	62	62	1	2	1	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	3	1	1	2	2	2	3	2	2	1	1	2	2	2	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	4	2	2	1	1	1	2	3	4	3	1	3	2	1	3	1	2
65500	-296.539996665392209	-303.395484616351609	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721043074900371	0	1	2	4	4	4	4	3	5	7	6	5	5	5	5	6	7	5	6	6	6	6	7	8	9	10	9	9	9	9	9	10	10	8	11	11	11	12	13	11	11	11	11	12	12	12	12	13	13	13	13	13	14	14	12	15	15	14	16	17	17	16	17	17	19	0	1	2	8	8	8	2	3	3	5	18	7	4	4	4	3	3	6	18	13	7	15	19	16	4	31	23	16	24	13	21	31	31	23	29	30	30	13	37	26	31	26	32	43	29	35	35	55	43	29	42	46	55	52	31	47	50	55	56	57	55	56	62	56	63	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	1	1	2	1	1	2	3	1	2	3	1	2	2	1	1	1	2	1	2	4	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	3	2	2	1	2	2	1	1	2	2
